VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,store_and_fwd_flag,payment_type,fare_amount,tip_amount,extra,total_amount
1,2024-01-03 18:24:00,2024-01-03 19:19:00,3,5.231,94,247,N,DIS,14.7,0.0,0.0,14.7
2,2024-01-24 23:49:00,2024-01-25 00:17:00,1,3.758,223,203,N,CSH,11.66,2.28,0.5,14.44
2,2024-01-21 07:00:00,2024-01-21 07:04:00,1,2.219,200,97,N,CSH,7.05,0.47,0.0,7.52
1,2024-01-14 14:31:00,2024-01-14 14:33:00,1,6.808,150,90,N,CRD,18.52,0.93,0.0,19.45
1,2024-01-14 10:09:00,2024-01-14 10:12:00,1,2.641,237,146,N,CRD,8.87,0.98,0.0,9.85
1,2024-01-27 14:47:00,2024-01-27 14:53:00,1,1.858,225,145,N,CRD,8.45,1.34,0.5,10.29
1,2024-01-03 15:56:00,2024-01-03 16:06:00,2,4.398,93,199,N,CRD,13.74,5.6,1.0,20.34
1,2024-01-22 14:50:00,2024-01-22 15:00:00,1,1.002,247,197,N,CRD,4.83,0.25,0.0,5.08
1,2024-01-07 05:53:00,2024-01-07 06:01:00,1,2.311,200,133,N,CRD,10.89,1.24,0.0,12.13
2,2024-01-03 22:04:00,2024-01-03 22:35:00,1,2.213,166,219,N,CRD,7.03,0.0,0.0,7.03
1,2024-01-17 07:42:00,2024-01-17 08:06:00,1,1.834,122,204,N,NoCharge,7.36,2.98,0.0,10.34
1,2024-01-31 05:51:00,2024-01-31 06:21:00,2,0.304,16,210,N,CSH,2.5,0.0,0.0,2.5
2,2024-01-23 19:23:00,2024-01-23 19:26:00,2,1.818,181,10,N,CRD,7.08,1.88,0.5,9.46
1,2024-01-24 14:17:00,2024-01-24 14:20:00,1,0.447,39,72,N,CSH,2.83,0.6,0.0,3.43
1,2024-01-23 05:48:00,2024-01-23 06:06:00,1,5.347,237,43,N,CRD,15.19,3.92,0.0,19.11
1,2024-01-25 08:49:00,2024-01-25 08:52:00,1,1.125,208,164,N,DIS,5.58,0.53,0.0,6.11
2,2024-01-16 21:50:00,2024-01-16 22:07:00,1,0.407,262,126,N,CRD,3.32,0.25,0.0,3.57
2,2024-01-04 23:18:00,2024-01-04 23:20:00,2,0.784,210,35,N,CRD,3.72,0.45,0.5,4.67
1,2024-01-27 00:46:00,2024-01-27 00:57:00,2,2.454,145,19,N,CRD,7.64,2.12,0.0,9.76
2,2024-01-14 23:05:00,2024-01-14 23:07:00,2,4.853,59,39,N,CRD,15.39,1.92,0.0,17.31
2,2024-01-16 12:15:00,2024-01-16 12:20:00,1,1.837,257,188,N,CRD,6.85,1.33,0.0,8.18
1,2024-01-12 11:52:00,2024-01-12 11:58:00,2,0.418,179,23,Y,CSH,2.54,0.2,0.5,3.24
1,2024-01-06 15:49:00,2024-01-06 16:09:00,1,0.241,83,12,N,CSH,2.5,0.0,0.0,2.5
2,2024-01-29 17:30:00,2024-01-29 17:33:00,1,1.817,195,259,Y,CRD,7.31,0.8,0.0,8.11
1,2024-01-25 05:29:00,2024-01-25 05:45:00,1,3.121,87,205,N,CRD,9.98,3.53,0.0,13.51
1,2024-01-20 23:02:00,2024-01-20 23:07:00,3,0.962,29,60,N,CRD,5.06,0.0,0.0,5.06
2,2024-01-13 11:23:00,2024-01-13 11:35:00,2,0.598,237,8,N,CRD,6.52,0.0,0.0,6.52
1,2024-01-26 12:08:00,2024-01-26 12:37:00,3,1.935,4,223,N,CRD,8.13,0.05,0.0,8.18
1,2024-01-17 21:47:00,2024-01-17 22:06:00,1,0.408,97,180,N,CRD,3.47,0.0,0.0,3.47
1,2024-01-14 17:54:00,2024-01-14 18:15:00,3,5.2,24,156,N,CRD,14.5,0.56,0.0,15.06
2,2024-01-14 23:08:00,2024-01-14 23:50:00,1,7.474,48,52,N,CRD,22.8,0.0,0.0,22.8
2,2024-01-08 01:03:00,2024-01-08 01:06:00,2,2.782,166,231,N,CRD,9.52,1.51,0.0,11.03
1,2024-01-03 20:32:00,2024-01-03 21:09:00,1,0.228,59,204,N,CRD,5.51,0.65,0.5,6.66
2,2024-01-18 04:36:00,2024-01-18 05:10:00,2,2.537,80,231,N,CRD,8.02,0.0,0.0,8.02
1,2024-01-28 12:35:00,2024-01-28 12:46:00,1,2.009,23,115,N,CSH,6.52,0.0,0.0,6.52
1,2024-01-02 23:28:00,2024-01-02 23:52:00,1,1.194,162,24,N,CSH,6.91,1.32,1.0,9.23
2,2024-01-27 14:34:00,2024-01-27 14:36:00,1,5.493,134,80,N,CRD,16.48,0.0,0.0,16.48
1,2024-01-26 15:45:00,2024-01-26 15:55:00,1,1.437,148,157,N,CRD,7.33,1.4,0.0,8.73
2,2024-01-09 13:54:00,2024-01-09 14:03:00,1,1.015,122,114,N,CRD,4.04,0.66,0.0,4.7
1,2024-01-20 13:57:00,2024-01-20 14:47:00,2,0.342,102,250,N,CRD,2.5,0.1,0.0,2.6
